,User,FB_Followers,FB_PageLikes,INSTA_Followers,INSTA_Following,INSTA_Posts,TWITTER_Followers,TWITTER_Following,TWITTER_Tweets
0,Michael Bennet,108652,59226,12500,39,411,44000,2797,3711
1,Joe Biden,1538072,1511559,1400000,19,254,4100000,26,3589
2,Mike Bloomberg,810629,793629,268000,33,1098,2400000,495,11600
3,Pete Buttigieg,549231,521708,1000000,1174,531,1600000,2597,10500
4,John Delaney,355560,356370,6244,308,518,38000,2578,9339
5,Tulsi Gabbard,462667,439967,281800,544,1555,767100,3405,9865
6,Amy Klobuchar,366016,279068,159000,395,719,860500,139100,10700
7,Deval Patrick,53410,53837,3177,7,53,53100,1436,1936
8,Bernie Sanders,5239686,5226541,4100000,1967,196,10300000,1445,16600
9,Tom Steyer,528755,502050,66600,491,428,267800,1179,9589
10,Elizabeth Warren,3360666,3351172,2200000,53,1610,3600000,514,7970
11,Andrew Yang,276944,255788,540400,83,1432,1200000,6967,15200
12,Donald Trump,27229983,25702240,17000000,8,5280,71200000,47,48000
13,Joe Walsh,1073201,1122734,6864,5792,170,229100,32100,68500
14,Bill Weld,85758,84575,16600,27,51,91400,270,804
