start_date,pollster,politician,tot_favorable
2019-12-07,YouGov,Michael Bennet,28.0
2019-12-07,YouGov,Michael Bloomberg,48.0
2019-12-07,YouGov,Pete Buttigieg,70.0
2019-12-07,YouGov,John Delaney,22.0
2019-12-07,YouGov,Tulsi Gabbard,50.0
2019-12-07,YouGov,Amy Klobuchar,58.0
2019-12-07,YouGov,Deval Patrick,28.0
2019-12-07,YouGov,Tom Steyer,38.0
2019-12-07,YouGov,Andrew Yang,64.0
2019-12-07,YouGov,Bernie Sanders,84.0
2019-12-07,YouGov,Elizabeth Warren,82.0
2019-12-07,YouGov,Joe Biden,84.0
2019-12-07,YouGov,Donald Trump,63.0
2019-12-04,Quinnipiac University,Pete Buttigieg,31.0
2019-12-04,Quinnipiac University,Amy Klobuchar,24.0
2019-12-04,Quinnipiac University,Michael Bloomberg,21.0
2019-12-04,Quinnipiac University,Bernie Sanders,44.0
2019-12-04,Quinnipiac University,Joe Biden,44.0
2019-12-04,Quinnipiac University,Elizabeth Warren,38.0
2019-12-04,Quinnipiac University,Donald Trump,40.0
2019-12-04,Monmouth University,Pete Buttigieg,68.0
2019-12-04,Monmouth University,Michael Bloomberg,52.0
2019-12-04,Monmouth University,Andrew Yang,50.0
2019-12-04,Monmouth University,Joe Biden,86.0
2019-12-04,Monmouth University,Elizabeth Warren,80.0
2019-12-04,Monmouth University,Bernie Sanders,82.0
2019-12-04,Monmouth University,Donald Trump,92.0
2019-12-01,YouGov,Michael Bloomberg,52.0
2019-12-01,YouGov,Pete Buttigieg,72.0
2019-12-01,YouGov,John Delaney,28.0
2019-12-01,YouGov,Tulsi Gabbard,52.0
2019-12-01,YouGov,Amy Klobuchar,56.0
2019-12-01,YouGov,Deval Patrick,32.0
2019-12-01,YouGov,Tom Steyer,44.0
2019-12-01,YouGov,Andrew Yang,66.0
2019-12-01,YouGov,Joe Biden,84.0
2019-12-01,YouGov,Bernie Sanders,84.0
2019-12-01,YouGov,Elizabeth Warren,82.0
2019-12-01,YouGov,Donald Trump,94.0
2019-11-27,Harris Poll,Pete Buttigieg,64.0
2019-11-27,Harris Poll,Michael Bloomberg,63.0
2019-11-27,Harris Poll,Bernie Sanders,90.0
2019-11-27,Harris Poll,Joe Biden,88.0
2019-11-27,Harris Poll,Donald Trump,84.0
2019-11-27,Harris Poll,Elizabeth Warren,69.0
2019-11-24,YouGov,Michael Bennet,36.0
2019-11-24,YouGov,Michael Bloomberg,46.0
2019-11-24,YouGov,Pete Buttigieg,70.0
2019-11-24,YouGov,John Delaney,36.0
2019-11-24,YouGov,Tulsi Gabbard,52.0
2019-11-24,YouGov,Amy Klobuchar,62.0
2019-11-24,YouGov,Deval Patrick,32.0
2019-11-24,YouGov,Tom Steyer,46.0
2019-11-24,YouGov,Andrew Yang,68.0
2019-11-24,YouGov,Bernie Sanders,86.0
2019-11-24,YouGov,Joe Biden,86.0
2019-11-24,YouGov,Elizabeth Warren,84.0
2019-11-24,YouGov,Donald Trump,90.0
2019-11-22,Morning Consult,Donald Trump,40.0
2019-11-17,YouGov,Michael Bennet,38.0
2019-11-17,YouGov,Pete Buttigieg,80.0
2019-11-17,YouGov,John Delaney,34.0
2019-11-17,YouGov,Tulsi Gabbard,50.0
2019-11-17,YouGov,Amy Klobuchar,58.0
2019-11-17,YouGov,Deval Patrick,32.0
2019-11-17,YouGov,Tom Steyer,44.0
2019-11-17,YouGov,Andrew Yang,64.0
2019-11-17,YouGov,Michael Bloomberg,48.0
2019-11-17,YouGov,Elizabeth Warren,88.0
2019-11-17,YouGov,Joe Biden,88.0
2019-11-17,YouGov,Bernie Sanders,84.0
2019-11-17,YouGov,Donald Trump,88.0
2019-11-15,Morning Consult,Deval Patrick,9.0
2019-11-15,Morning Consult,Donald Trump,41.0
2019-11-10,YouGov,Michael Bennet,36.0
2019-11-10,YouGov,Pete Buttigieg,76.0
2019-11-10,YouGov,John Delaney,28.0
2019-11-10,YouGov,Tulsi Gabbard,50.0
2019-11-10,YouGov,Amy Klobuchar,62.0
2019-11-10,YouGov,Tom Steyer,42.0
2019-11-10,YouGov,Andrew Yang,66.0
2019-11-10,YouGov,Michael Bloomberg,48.0
2019-11-10,YouGov,Elizabeth Warren,88.0
2019-11-10,YouGov,Bernie Sanders,88.0
2019-11-10,YouGov,Donald Trump,86.0
2019-11-10,YouGov,Joe Biden,82.0
2019-11-08,Morning Consult,Donald Trump,39.0
2019-11-03,YouGov,Michael Bennet,38.0
2019-11-03,YouGov,Pete Buttigieg,72.0
2019-11-03,YouGov,John Delaney,34.0
2019-11-03,YouGov,Tulsi Gabbard,50.0
2019-11-03,YouGov,Amy Klobuchar,60.0
2019-11-03,YouGov,Tom Steyer,48.0
2019-11-03,YouGov,Andrew Yang,68.0
2019-11-03,YouGov,Elizabeth Warren,92.0
2019-11-03,YouGov,Bernie Sanders,90.0
2019-11-03,YouGov,Joe Biden,88.0
2019-11-03,YouGov,Donald Trump,88.0
2019-10-30,Monmouth University,Pete Buttigieg,54.0
2019-10-30,Monmouth University,Elizabeth Warren,84.0
2019-10-30,Monmouth University,Joe Biden,86.0
2019-10-30,Monmouth University,Donald Trump,88.0
2019-11-01,Morning Consult,Donald Trump,40.0
2019-10-30,Monmouth University,Bernie Sanders,82.0
2019-10-29,Harris Poll,Bernie Sanders,96.0
2019-10-29,Harris Poll,Pete Buttigieg,62.0
2019-10-29,Harris Poll,Joe Biden,96.0
2019-10-29,Harris Poll,Elizabeth Warren,78.0
2019-10-29,Harris Poll,Donald Trump,82.0
2019-10-27,YouGov,Michael Bennet,32.0
2019-10-27,YouGov,Pete Buttigieg,76.0
2019-10-27,YouGov,John Delaney,30.0
2019-10-27,YouGov,Tulsi Gabbard,52.0
2019-10-27,YouGov,Amy Klobuchar,58.0
2019-10-27,YouGov,Tom Steyer,38.0
2019-10-27,YouGov,Andrew Yang,66.0
2019-10-27,YouGov,Elizabeth Warren,88.0
2019-10-27,YouGov,Bernie Sanders,88.0
2019-10-27,YouGov,Joe Biden,88.0
2019-10-27,YouGov,Donald Trump,90.0
2019-10-25,Morning Consult,Donald Trump,42.0
2019-10-23,Suffolk University,Donald Trump,44.0
2019-10-20,YouGov,Michael Bennet,32.0
2019-10-20,YouGov,Pete Buttigieg,72.0
2019-10-20,YouGov,John Delaney,30.0
2019-10-20,YouGov,Tulsi Gabbard,54.0
2019-10-20,YouGov,Amy Klobuchar,58.0
2019-10-20,YouGov,Tom Steyer,40.0
2019-10-20,YouGov,Andrew Yang,62.0
2019-10-20,YouGov,Elizabeth Warren,88.0
2019-10-20,YouGov,Bernie Sanders,84.0
2019-10-20,YouGov,Donald Trump,86.0
2019-10-20,YouGov,Joe Biden,84.0
2019-10-18,Morning Consult,Donald Trump,41.0
2019-10-17,CNN/SSRS,Pete Buttigieg,31.0
2019-10-17,CNN/SSRS,Amy Klobuchar,23.0
2019-10-17,CNN/SSRS,Bernie Sanders,49.0
2019-10-17,CNN/SSRS,Joe Biden,47.0
2019-10-17,CNN/SSRS,Elizabeth Warren,40.0
2019-10-17,CNN/SSRS,Donald Trump,44.0
2019-10-17,HarrisX,Pete Buttigieg,64.0
2019-10-17,HarrisX,Andrew Yang,56.0
2019-10-17,HarrisX,Amy Klobuchar,50.0
2019-10-17,HarrisX,Tom Steyer,38.0
2019-10-17,HarrisX,Tulsi Gabbard,42.0
2019-10-17,HarrisX,Bernie Sanders,90.0
2019-10-17,HarrisX,Elizabeth Warren,80.0
2019-10-17,HarrisX,Joe Biden,94.0
2019-10-16,HarrisX,Pete Buttigieg,62.0
2019-10-16,HarrisX,Andrew Yang,58.0
