,question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
0,115700,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Biden,Joe Biden,DEM,50.0
1,115700,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Trump,Donald Trump,REP,44.0
2,115701,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Sanders,Bernie Sanders,DEM,50.0
3,115701,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Trump,Donald Trump,REP,45.0
4,115702,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Warren,Elizabeth Warren,DEM,48.0
5,115702,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Trump,Donald Trump,REP,45.0
6,115703,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Buttigieg,Pete Buttigieg,DEM,47.0
7,115703,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Trump,Donald Trump,REP,43.0
8,115704,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Bloomberg,Michael Bloomberg,DEM,49.0
9,115704,63277,2020,Michigan,143,EPIC-MRA,,,EPIC-MRA,84.0,EPIC-MRA,B+,600,lv,lv,Live Phone,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 07:47,,https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/,general,Trump,Donald Trump,REP,42.0
10,115772,63280,2020,Florida,1218,Florida Atlantic University,,,Florida Atlantic University,97.0,Florida Atlantic University,B/C,1285,rv,rv,IVR/Online,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 12:15,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-widening-lead-in-florida-where-trunp-has-fallen-behind.php,general,Biden,Joe Biden,DEM,51.4
11,115772,63280,2020,Florida,1218,Florida Atlantic University,,,Florida Atlantic University,97.0,Florida Atlantic University,B/C,1285,rv,rv,IVR/Online,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 12:15,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-widening-lead-in-florida-where-trunp-has-fallen-behind.php,general,Trump,Donald Trump,REP,48.6
12,115773,63280,2020,Florida,1218,Florida Atlantic University,,,Florida Atlantic University,97.0,Florida Atlantic University,B/C,1285,rv,rv,IVR/Online,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 12:16,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-widening-lead-in-florida-where-trunp-has-fallen-behind.php,general,Sanders,Bernie Sanders,DEM,52.9
13,115773,63280,2020,Florida,1218,Florida Atlantic University,,,Florida Atlantic University,97.0,Florida Atlantic University,B/C,1285,rv,rv,IVR/Online,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 12:16,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-widening-lead-in-florida-where-trunp-has-fallen-behind.php,general,Trump,Donald Trump,REP,47.1
14,115774,63280,2020,Florida,1218,Florida Atlantic University,,,Florida Atlantic University,97.0,Florida Atlantic University,B/C,1285,rv,rv,IVR/Online,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 12:16,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-widening-lead-in-florida-where-trunp-has-fallen-behind.php,general,Buttigieg,Pete Buttigieg,DEM,50.0
15,115774,63280,2020,Florida,1218,Florida Atlantic University,,,Florida Atlantic University,97.0,Florida Atlantic University,B/C,1285,rv,rv,IVR/Online,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 12:16,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-widening-lead-in-florida-where-trunp-has-fallen-behind.php,general,Trump,Donald Trump,REP,50.0
16,115775,63280,2020,Florida,1218,Florida Atlantic University,,,Florida Atlantic University,97.0,Florida Atlantic University,B/C,1285,rv,rv,IVR/Online,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 12:16,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-widening-lead-in-florida-where-trunp-has-fallen-behind.php,general,Warren,Elizabeth Warren,DEM,50.8
17,115775,63280,2020,Florida,1218,Florida Atlantic University,,,Florida Atlantic University,97.0,Florida Atlantic University,B/C,1285,rv,rv,IVR/Online,U.S. President,0,,1/9/20,1/12/20,,,False,,,False,False,1/15/20 12:16,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-widening-lead-in-florida-where-trunp-has-fallen-behind.php,general,Trump,Donald Trump,REP,49.2
18,115779,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:27,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Biden,Joe Biden,DEM,49.0
19,115779,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:27,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Trump,Donald Trump,REP,45.0
20,115780,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:28,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Sanders,Bernie Sanders,DEM,47.0
21,115780,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:28,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Trump,Donald Trump,REP,46.0
22,115781,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:28,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Warren,Elizabeth Warren,DEM,45.0
23,115781,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:28,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Trump,Donald Trump,REP,48.0
24,115782,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:28,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Buttigieg,Pete Buttigieg,DEM,44.0
25,115782,63282,2020,Wisconsin,1075,Marquette University Law School,,,Marquette Law School,195.0,Marquette University Law School,A/B,800,rv,rv,Live Phone,U.S. President,0,,1/8/20,1/12/20,,,False,,,False,False,1/15/20 14:28,,https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf,general,Trump,Donald Trump,REP,46.0
26,115668,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Biden,Joe Biden,DEM,46.0
27,115668,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,41.0
28,115669,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Sanders,Bernie Sanders,DEM,46.0
29,115669,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,42.0
30,115670,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Warren,Elizabeth Warren,DEM,43.0
31,115670,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,41.0
32,115671,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Bloomberg,Michael Bloomberg,DEM,43.0
33,115671,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,42.0
34,115672,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Buttigieg,Pete Buttigieg,DEM,42.0
35,115672,63268,2020,,1189,Morning Consult,,,Morning Consult,218.0,Morning Consult,B/C,8299,rv,rv,Online,U.S. President,0,,1/6/20,1/12/20,,,False,,,False,False,1/14/20 06:21,,https://morningconsult.com/wp-content/uploads/2020/01/Morning-Consult-Political-Intelligence_January-14_MCPI_Final.pdf,general,Trump,Donald Trump,REP,42.0
36,115619,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Biden,Joe Biden,DEM,48.0
37,115619,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Trump,Donald Trump,REP,46.0
38,115620,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Sanders,Bernie Sanders,DEM,48.0
39,115620,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Trump,Donald Trump,REP,47.0
40,115621,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Warren,Elizabeth Warren,DEM,46.0
41,115621,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Trump,Donald Trump,REP,47.0
42,115622,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Buttigieg,Pete Buttigieg,DEM,47.0
43,115622,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Trump,Donald Trump,REP,46.0
44,115623,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Bloomberg,Michael Bloomberg,DEM,47.0
45,115623,63257,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,846,rv,rv,Live Phone,U.S. President,0,,1/3/20,1/11/20,,,False,,,False,False,1/13/20 10:39,,https://projects.fivethirtyeight.com/polls/20200114_National.xlsx,general,Trump,Donald Trump,REP,45.0
46,115783,63283,2020,West Virginia,1418,WPA Intelligence (WPAi),1072,Club For Growth Action,WPA Intelligence,383.0,WPA Intelligence (WPAi),B/C,500,lv,lv,Live Phone,U.S. President,0,,1/7/20,1/9/20,,,False,REP,,False,False,1/15/20 14:28,,https://www.clubforgrowth.org/wp-content/uploads/2020/01/CFG_WV_Impeachment_Poll_Memo_2001122.pdf,general,Biden,Joe Biden,DEM,31.0
47,115783,63283,2020,West Virginia,1418,WPA Intelligence (WPAi),1072,Club For Growth Action,WPA Intelligence,383.0,WPA Intelligence (WPAi),B/C,500,lv,lv,Live Phone,U.S. President,0,,1/7/20,1/9/20,,,False,REP,,False,False,1/15/20 14:28,,https://www.clubforgrowth.org/wp-content/uploads/2020/01/CFG_WV_Impeachment_Poll_Memo_2001122.pdf,general,Trump,Donald Trump,REP,66.0
48,115784,63283,2020,West Virginia,1418,WPA Intelligence (WPAi),1072,Club For Growth Action,WPA Intelligence,383.0,WPA Intelligence (WPAi),B/C,500,lv,lv,Live Phone,U.S. President,0,,1/7/20,1/9/20,,,False,REP,,False,False,1/15/20 14:28,,https://www.clubforgrowth.org/wp-content/uploads/2020/01/CFG_WV_Impeachment_Poll_Memo_2001122.pdf,general,Sanders,Bernie Sanders,DEM,29.0
49,115784,63283,2020,West Virginia,1418,WPA Intelligence (WPAi),1072,Club For Growth Action,WPA Intelligence,383.0,WPA Intelligence (WPAi),B/C,500,lv,lv,Live Phone,U.S. President,0,,1/7/20,1/9/20,,,False,REP,,False,False,1/15/20 14:28,,https://www.clubforgrowth.org/wp-content/uploads/2020/01/CFG_WV_Impeachment_Poll_Memo_2001122.pdf,general,Trump,Donald Trump,REP,66.0
50,115578,63245,2020,Nevada,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1505,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442329790/Fox-News-Poll-January-5-8-2020-Nevada,general,Biden,Joe Biden,DEM,47.0
51,115578,63245,2020,Nevada,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1505,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442329790/Fox-News-Poll-January-5-8-2020-Nevada,general,Trump,Donald Trump,REP,39.0
52,115579,63245,2020,Nevada,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1505,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442329790/Fox-News-Poll-January-5-8-2020-Nevada,general,Sanders,Bernie Sanders,DEM,46.0
53,115579,63245,2020,Nevada,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1505,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442329790/Fox-News-Poll-January-5-8-2020-Nevada,general,Trump,Donald Trump,REP,41.0
54,115580,63245,2020,Nevada,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1505,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442329790/Fox-News-Poll-January-5-8-2020-Nevada,general,Warren,Elizabeth Warren,DEM,43.0
55,115580,63245,2020,Nevada,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1505,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442329790/Fox-News-Poll-January-5-8-2020-Nevada,general,Trump,Donald Trump,REP,42.0
56,115581,63245,2020,Nevada,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1505,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442329790/Fox-News-Poll-January-5-8-2020-Nevada,general,Buttigieg,Pete Buttigieg,DEM,41.0
57,115581,63245,2020,Nevada,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1505,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442329790/Fox-News-Poll-January-5-8-2020-Nevada,general,Trump,Donald Trump,REP,40.0
58,115582,63246,2020,Wisconsin,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1504,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442330004/Fox-News-Poll-January-5-8-2020-Wisconsin,general,Biden,Joe Biden,DEM,46.0
59,115582,63246,2020,Wisconsin,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1504,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442330004/Fox-News-Poll-January-5-8-2020-Wisconsin,general,Trump,Donald Trump,REP,41.0
60,115583,63246,2020,Wisconsin,590,Fox News/Beacon Research/Shaw & Co. Research,,,Fox News,103.0,Fox News/Beacon Research/Shaw & Co. Research,A-,1504,rv,rv,Live Phone,U.S. President,0,,1/5/20,1/8/20,,,False,,,False,False,1/9/20 18:09,,https://www.scribd.com/document/442330004/Fox-News-Poll-January-5-8-2020-Wisconsin,general,Sanders,Bernie Sanders,DEM,46.0
