Country_Subdivision_Primary,Spend_USD
AK,167200
AL,1185000
AR,694600
AZ,6301100
CA,16634700
CO,3187700
CT,995000
DC,1438400
DE,301100
FL,13937700
GA,3137900
HI,303100
IA,6464000
ID,359700
IL,4412100
IN,4568500
KS,1448500
KY,2052300
LA,1240500
MA,2859200
MD,1767600
ME,1162500
MI,4901100
MN,3789800
MO,5476100
MS,929400
MT,1836600
NC,4520700
ND,935800
NE,637800
NH,2335600
NJ,4744200
NM,960900
NV,5043100
NY,7483300
OH,3931000
OK,1182600
OR,1348200
PA,5085000
RI,281200
SC,2729200
SD,232400
TN,6184100
TX,10286900
UT,1042600
VA,4935800
VT,216600
WA,3334300
WI,3085200
WV,1121000
WY,176600
