Country_Subdivision_Primary,Spend_USD,State,Population,spending_per_capita
AK,167200,Alaska,731545.0,0.22855736830953666
AL,1185000,Alabama,4903185.0,0.24167964292597566
AR,694600,Arkansas,3017825.0,0.23016576507915468
AZ,6301100,Arizona,7278717.0,0.8656882799537337
CA,16634700,California,39512223.0,0.42100136962681145
CO,3187700,Colorado,5758736.0,0.5535416105200863
CT,995000,Connecticut,3565287.0,0.27907991698845
DE,301100,Delaware,973764.0,0.3092124991270986
FL,13937700,Florida,21477737.0,0.6489370830828219
GA,3137900,Georgia,10617423.0,0.29554252477272497
HI,303100,Hawaii,1415872.0,0.21407302355015143
IA,6464000,Iowa,3155070.0,2.0487659544796153
ID,359700,Idaho,1792065.0,0.20071816591474081
IL,4412100,Illinois,12671821.0,0.34818200162391816
IN,4568500,Indiana,6732219.0,0.6786024043484028
KS,1448500,Kansas,2913314.0,0.49720009583587627
KY,2052300,Kentucky,4467673.0,0.4593666546320646
LA,1240500,Louisiana,4648794.0,0.26684340067553003
MA,2859200,Massachusetts,6949503.0,0.41142510478806904
MD,1767600,Maryland,6045680.0,0.29237405883209167
ME,1162500,Maine,1344212.0,0.8648189422501807
MI,4901100,Michigan,9986857.0,0.49075499929557415
MN,3789800,Minnesota,5639632.0,0.6719942010400679
MO,5476100,Missouri,6137428.0,0.8922467196356519
MS,929400,Mississippi,2976149.0,0.3122827519724315
MT,1836600,Montana,1068778.0,1.718411119989371
NC,4520700,North Carolina,10488084.0,0.4310320169060431
ND,935800,North Dakota,762062.0,1.227984074786566
NE,637800,Nebraska,1934408.0,0.3297132766200305
NH,2335600,New Hampshire,1359711.0,1.717717956242172
NJ,4744200,New Jersey,8882190.0,0.5341250299757154
NM,960900,New Mexico,2096829.0,0.45826340631496415
NV,5043100,Nevada,3080156.0,1.637287202336505
NY,7483300,New York,19453561.0,0.38467507311386334
OH,3931000,Ohio,11689100.0,0.336296207578
OK,1182600,Oklahoma,3956971.0,0.29886496514632027
OR,1348200,Oregon,4217737.0,0.3196500872387254
PA,5085000,Pennsylvania,12801989.0,0.39720390323722354
RI,281200,Rhode Island,1059361.0,0.2654430359433659
SC,2729200,South Carolina,5148714.0,0.5300741117102251
SD,232400,South Dakota,884659.0,0.2627000912215893
TN,6184100,Tennessee,6833174.0,0.9050113461182168
TX,10286900,Texas,28995881.0,0.35477107938193014
UT,1042600,Utah,3205958.0,0.3252070052071799
VA,4935800,Virginia,8535519.0,0.5782659496159519
VT,216600,Vermont,623989.0,0.34712150374445705
WA,3334300,Washington,7614893.0,0.4378656403970483
WI,3085200,Wisconsin,5822434.0,0.5298814894252128
WV,1121000,West Virginia,1787147.0,0.6272567393728664
WY,176600,Wyoming,578759.0,0.30513564367897517
