Location Name,Amount Spent (USD)
Alabama,18869
Alaska,4871
American Samoa,≤100
Arizona,42285
Arkansas,12457
California,225170
Colorado,34314
Connecticut,15415
Delaware,3710
Florida,115155
Georgia,44607
Guam,153
Hawaii,5718
Idaho,6697
Illinois,80428
Indiana,25328
Iowa,44460
Kansas,12582
Kentucky,15092
Louisiana,14908
Maine,16708
Maryland,32464
Massachusetts,36035
Michigan,61137
Minnesota,33374
Mississippi,9899
Missouri,29905
Montana,4707
Nebraska,5982
Nevada,23691
New Hampshire,17248
New Jersey,49799
New Mexico,10657
New York,116418
North Carolina,48434
North Dakota,2197
Northern Mariana Islands,≤100
Ohio,47894
Oklahoma,18571
Oregon,24118
Pennsylvania,70879
Puerto Rico,526
Rhode Island,4574
South Carolina,37950
South Dakota,3240
Tennessee,25951
Texas,110850
Unknown,≤100
Utah,13417
Vermont,4048
Virgin Islands (U.S.),≤100
Virginia,45312
Washington,47437
"Washington, District of Columbia",8779
West Virginia,6224
Wisconsin,27585
Wyoming,2479
